order_id,product_id,category,region,sales_amount,quantity,customer_age,customer_gender,order_date
1,1016,Home Goods,North,1960.68,4,22,Non-Binary,5/21/2024
2,1046,Electronics,West,410.05,1,25,Male,4/18/2024
3,1075,Accessories,South,2409.45,5,34,Non-Binary,3/25/2024
4,1176,Home Goods,South,2355.03,9,28,Female,1/15/2024
5,1152,Electronics,North,2073.42,6,30,Female,5/22/2024
6,1080,Home Goods,West,3417.88,9,38,Non-Binary,1/7/2024
7,1040,Sneakers,North,942.72,5,68,Non-Binary,2/29/2024
8,1162,Sneakers,West,2944.52,9,22,Female,1/16/2024
9,1015,Electronics,East,1624.58,4,58,Female,4/7/2024
10,1180,Accessories,North,574.3,4,34,Male,2/1/2024
11,1073,Accessories,North,3965.18,8,68,Female,1/23/2024
12,1035,Home Goods,West,669.62,9,32,Non-Binary,3/7/2024
13,1056,Accessories,South,1714.82,7,24,Non-Binary,1/30/2024
14,1000,Accessories,North,283.55,1,41,Male,1/26/2024
15,1059,Apparel,North,3295.14,10,34,Female,5/14/2024
16,1160,Sneakers,North,1273.53,6,66,Male,5/3/2024
17,1114,Home Goods,West,1380.12,6,54,Male,3/21/2024
18,1087,Electronics,South,63.01,4,40,Female,1/1/2024
19,1133,Apparel,South,249.8,3,65,Non-Binary,4/15/2024
20,1191,Electronics,North,419.6,7,45,Male,5/5/2024
21,1120,Apparel,South,68.33,2,40,Female,5/18/2024
22,1070,Accessories,South,1280.23,5,41,Non-Binary,5/5/2024
23,1065,Apparel,East,1088.02,6,33,Male,4/7/2024
24,1164,Sneakers,North,1796.04,5,47,Non-Binary,5/17/2024
25,1180,Accessories,North,56.99,1,62,Non-Binary,3/20/2024
26,1045,Sneakers,South,2532.08,7,65,Female,4/18/2024
27,1033,Apparel,West,486.17,6,43,Female,3/25/2024
28,1008,Electronics,North,1754.02,8,62,Male,5/20/2024
29,1051,Home Goods,South,2089.46,8,69,Female,2/2/2024
30,1116,Electronics,South,1660.56,4,61,Female,5/9/2024
31,1057,Sneakers,West,2430.22,7,33,Male,2/9/2024
32,1038,Apparel,East,1026.05,9,48,Non-Binary,3/9/2024
33,1154,Apparel,North,4107.09,10,50,Male,4/10/2024
34,1055,Apparel,East,2125.57,5,19,Female,5/24/2024
35,1103,Home Goods,West,1352.01,7,51,Male,3/3/2024
36,1016,Home Goods,South,1118.95,6,21,Female,2/2/2024
37,1010,Sneakers,East,559.45,6,50,Male,1/31/2024
38,1061,Accessories,South,211,2,59,Non-Binary,1/17/2024
39,1029,Apparel,South,2683.64,6,62,Non-Binary,5/14/2024
40,1005,Sneakers,South,1100.87,4,52,Male,4/14/2024
41,1123,Accessories,East,349.45,9,47,Male,1/12/2024
42,1110,Apparel,North,3457.83,9,22,Male,4/18/2024
43,1038,Apparel,West,3262.51,7,62,Female,5/1/2024
44,1037,Electronics,East,905.97,10,22,Non-Binary,4/9/2024
45,1169,Accessories,East,1577.68,7,33,Female,1/20/2024
46,1149,Home Goods,West,84.93,1,52,Male,2/11/2024
47,1132,Electronics,West,1132.79,3,50,Non-Binary,3/29/2024
48,1079,Sneakers,South,466.79,4,41,Non-Binary,2/5/2024
49,1136,Apparel,North,1114.72,9,36,Male,4/26/2024
50,1004,Apparel,West,2444.53,6,66,Female,5/2/2024
51,1192,Electronics,West,1002.08,4,19,Male,2/1/2024
52,1195,Sneakers,West,2285.4,9,20,Non-Binary,2/29/2024
53,1080,Home Goods,East,3973.51,10,49,Male,2/18/2024
54,1033,Apparel,East,216.06,9,43,Female,5/20/2024
55,1145,Sneakers,North,1119.27,9,34,Male,1/10/2024
56,1184,Sneakers,West,2157.93,8,55,Non-Binary,4/9/2024
57,1120,Apparel,South,2736.92,7,48,Male,4/2/2024
58,1059,Apparel,East,2491.24,5,23,Non-Binary,1/8/2024
59,1027,Sneakers,North,2832.64,6,29,Male,5/27/2024
60,1027,Sneakers,North,873.57,4,50,Non-Binary,4/3/2024
61,1114,Home Goods,West,2778.33,8,37,Male,3/20/2024
62,1145,Sneakers,East,2082.88,5,18,Female,3/1/2024
63,1048,Apparel,North,3377.78,8,57,Female,1/4/2024
64,1104,Electronics,West,268.65,3,39,Male,3/31/2024
65,1008,Electronics,West,3300.21,9,43,Non-Binary,5/13/2024
66,1062,Accessories,West,700.29,6,27,Non-Binary,1/29/2024
67,1052,Sneakers,North,1709.86,4,57,Female,2/23/2024
68,1086,Electronics,West,36.75,3,54,Male,1/4/2024
69,1030,Accessories,West,213.04,8,60,Non-Binary,3/17/2024
70,1080,Home Goods,West,2002.21,6,29,Non-Binary,2/4/2024
71,1146,Home Goods,West,844.47,2,31,Male,1/22/2024
72,1069,Accessories,East,1332.28,5,52,Male,2/10/2024
73,1035,Home Goods,North,910.51,7,36,Non-Binary,5/4/2024
74,1080,Home Goods,West,2573.07,6,57,Male,3/17/2024
75,1026,Electronics,North,1017,4,24,Non-Binary,1/19/2024
76,1176,Home Goods,East,577.56,4,41,Non-Binary,2/9/2024
77,1063,Home Goods,East,412.33,3,34,Female,5/19/2024
78,1172,Sneakers,East,1030.92,7,34,Non-Binary,2/27/2024
79,1007,Sneakers,North,1686.05,4,24,Non-Binary,1/6/2024
80,1169,Accessories,North,1365.25,4,26,Non-Binary,3/24/2024
81,1195,Sneakers,North,248.36,2,26,Non-Binary,2/11/2024
